x-axis,1,2
second,Volt,Volt
-221.2000E-03,,
-220.9500E-03,+1.0101288E+00,+3.5717650E+00
-220.7000E-03,+1.1056061E+00,+3.6885992E+00
-220.4500E-03,+1.1200534E+00,-4.4963881E+00
-220.2000E-03,+1.0855056E+00,+3.6210741E+00
-219.9500E-03,+1.0829931E+00,+3.6763505E+00
-219.7000E-03,+1.0855056E+00,+3.6370917E+00
-219.4500E-03,+1.0768687E+00,+2.9448806E+00
-219.2000E-03,+872.4089E-03,+3.4935615E+00
-218.9500E-03,+1.0478172E+00,+3.6864007E+00
-218.7000E-03,+1.0679177E+00,-4.5023555E+00
-218.4500E-03,+1.0336840E+00,+3.6182474E+00
-218.2000E-03,+1.0311715E+00,+3.6694409E+00
-217.9500E-03,+1.0302293E+00,+3.6603329E+00
-217.7000E-03,+1.0311715E+00,-2.3465766E+00
-217.4500E-03,+1.0025911E+00,+3.6311243E+00
-217.2000E-03,+1.0000785E+00,+3.6864007E+00
-216.9500E-03,+1.0076162E+00,-3.9938756E+00
-216.7000E-03,+972.4403E-03,+3.6182474E+00
-216.4500E-03,+970.8700E-03,+3.6612751E+00
-216.2000E-03,+964.9026E-03,+3.6854585E+00
-215.9500E-03,+970.8700E-03,-4.4894786E+00
-215.7000E-03,+949.8273E-03,+3.6260992E+00
-215.4500E-03,+944.8021E-03,+3.6813756E+00
-215.2000E-03,+959.2494E-03,-1.4461369E+00
-214.9500E-03,+923.6024E-03,+3.6031721E+00
-214.7000E-03,+763.2695E-03,+3.4725188E+00
-214.4500E-03,+919.6765E-03,+3.6864007E+00
-214.2000E-03,+925.6438E-03,-4.4963881E+00
-213.9500E-03,+892.9805E-03,+3.6232726E+00
-213.7000E-03,+890.4680E-03,+3.6763505E+00
-213.4500E-03,+895.4931E-03,+2.4169284E+00
-213.2000E-03,+888.4265E-03,+621.0741E-03
-212.9500E-03,+660.7255E-03,+3.4150439E+00
-212.7000E-03,+865.3423E-03,+3.6885992E+00
-212.4500E-03,+881.9881E-03,-4.5023555E+00
-212.2000E-03,+844.2996E-03,+3.6210741E+00
-211.9500E-03,+844.2996E-03,+3.6713253E+00
-211.7000E-03,+841.7871E-03,+3.6854585E+00
-211.4500E-03,+844.2996E-03,-4.4822550E+00
-211.2000E-03,+816.6614E-03,+3.6361495E+00
-210.9500E-03,+814.1489E-03,+3.6864007E+00
-210.7000E-03,+836.7619E-03,-4.5023555E+00
-210.4500E-03,+799.0735E-03,+3.6182474E+00
-210.2000E-03,+799.0735E-03,+3.6612751E+00
